account_id,current_mrr,subscription_nb,contrat_type,licences,is_trial,upgrades_nbr,downgrades_nbr,auto_renew_flag,billing_frequency,industry,country,referral_source,churn_flag,total_usage,active_days_nbr,features_used_nbr,usage_time_total,beta_usage_count,total_errors,tickets_nb,resolution_time_avg,response_time_avg,satisfaction_avg,escalations_flag_nb,no_satisfaction_flag,seniority_days,days_since_last_activity,signup_seniority_days
A-5f2961,304,7,Basic,16,0,0,0,1,annual,HealthTech,US,partner,0,348,36,4.714285714285714,103023,2,19,1.0,53.0,19.0,4.0,0.0,1,34,57,39
A-67be94,1274,7,Pro,26,0,1,0,1,monthly,EdTech,US,organic,0,416,42,5.714285714285714,127197,3,17,5.0,38.6,51.0,4.0,0.0,0,490,13,637
A-6a7c9d,1274,5,Pro,26,0,0,0,1,annual,Cybersecurity,US,organic,1,189,19,3.4,65006,1,6,3.0,34.333333333333336,60.0,4.0,0.0,0,49,13,68
A-6e7827,833,9,Pro,17,0,3,0,1,annual,DevTools,US,other,0,419,41,4.0,123307,3,31,2.0,51.0,83.5,3.5,0.0,0,569,10,646
A-700ade,950,8,Basic,50,0,0,0,0,monthly,Cybersecurity,UK,organic,0,284,29,3.625,85381,2,18,4.0,30.25,53.5,4.666666666666667,0.0,0,54,80,61
A-779e4e,1862,10,Basic,98,0,2,1,1,annual,HealthTech,US,organic,0,393,44,4.2,111038,6,20,5.0,26.6,91.6,4.0,0.0,0,722,11,729
A-78f02b,539,4,Pro,11,0,1,0,1,annual,HealthTech,US,event,0,211,20,5.0,62349,3,16,4.0,45.75,55.0,4.0,0.0,0,42,32,44
A-7c6b6b,1127,7,Pro,23,0,0,0,1,monthly,FinTech,US,other,0,311,35,5.0,82471,5,24,5.0,52.2,82.4,4.333333333333333,0.0,0,25,24,31
A-7cfe77,1311,5,Basic,69,0,1,1,1,annual,DevTools,US,ads,0,205,19,3.8,57582,1,11,7.0,30.714285714285715,105.57142857142857,3.5,0.0,0,154,0,174
A-7e0a10,13930,10,Enterprise,70,0,1,0,1,annual,FinTech,US,ads,0,511,50,4.8,173162,5,35,5.0,39.4,62.6,4.0,0.0,0,398,17,409
A-82861f,8159,10,Enterprise,41,0,0,0,0,annual,DevTools,UK,organic,0,462,50,4.8,130873,4,43,5.0,24.4,55.0,3.2,0.0,0,227,25,250
A-854864,980,6,Pro,20,0,0,0,1,annual,FinTech,IN,event,0,248,24,3.8333333333333335,73517,4,10,5.0,44.2,100.8,4.8,0.0,0,22,16,24
A-855a48,11940,8,Enterprise,60,0,0,1,1,annual,EdTech,US,partner,0,448,44,5.25,145908,7,16,5.0,39.6,122.0,3.6666666666666665,0.0,0,336,42,375
A-89ee83,3582,11,Enterprise,18,0,3,0,1,monthly,Cybersecurity,US,organic,1,565,58,5.2727272727272725,172626,6,26,5.0,21.8,66.2,4.0,1.0,0,74,14,88
A-8e47ca,4975,9,Enterprise,25,0,1,0,1,monthly,HealthTech,US,organic,0,441,46,4.666666666666667,133497,2,35,5.0,33.4,80.6,4.0,1.0,0,308,27,320
A-8ed5dd,285,12,Basic,15,0,3,1,1,monthly,EdTech,UK,event,1,545,55,4.636363636363637,173217,2,45,6.0,29.0,96.83333333333333,3.75,0.0,0,511,12,551
A-92a333,171,6,Basic,9,0,0,1,1,monthly,FinTech,US,event,0,364,36,5.833333333333333,103645,2,30,4.0,23.25,58.25,4.0,1.0,1,515,11,648
A-92a3af,1225,11,Pro,25,0,0,2,1,monthly,Cybersecurity,IN,organic,0,714,67,5.7272727272727275,218189,8,55,4.0,57.5,39.0,4.0,1.0,0,161,13,177
A-96215d,490,6,Pro,10,0,1,0,0,annual,FinTech,US,event,0,347,31,5.0,104442,5,21,1.0,25.0,115.0,3.0,0.0,0,136,25,145
A-96bbc6,741,8,Basic,39,0,3,1,1,monthly,Cybersecurity,US,organic,0,482,49,5.75,152806,5,25,3.0,51.333333333333336,67.0,3.3333333333333335,0.0,0,222,5,238
A-970c97,931,8,Pro,19,0,0,1,1,annual,HealthTech,DE,other,0,444,44,5.0,133732,2,24,1.0,61.0,139.0,5.0,0.0,0,300,1,305
A-9affe6,1127,11,Pro,23,0,2,0,1,monthly,Cybersecurity,US,other,0,473,47,4.181818181818182,144853,3,16,3.0,58.0,76.0,3.0,0.0,0,635,0,650
A-9f9299,1372,15,Pro,28,0,0,0,1,annual,FinTech,US,organic,0,830,84,5.2,258465,10,54,5.0,36.2,116.2,5.0,0.0,0,403,5,486
A-a2485e,3383,6,Enterprise,17,0,0,1,1,annual,FinTech,US,event,0,317,28,4.166666666666667,102647,5,13,0.0,0.0,0.0,4.0,0.0,1,145,34,149
A-a33200,551,12,Basic,29,0,1,0,1,monthly,HealthTech,US,partner,0,517,55,4.416666666666667,150997,5,26,3.0,36.333333333333336,88.33333333333333,4.5,0.0,0,96,20,107
A-a865bd,2744,5,Pro,56,0,0,0,0,monthly,Cybersecurity,US,organic,0,230,23,4.8,60120,3,13,2.0,31.5,21.5,3.0,0.0,0,349,13,469
A-b20d99,3980,7,Enterprise,20,0,1,0,1,monthly,HealthTech,IN,other,0,329,33,4.428571428571429,105214,5,12,2.0,61.5,27.0,3.5,0.0,0,340,99,461
A-b2af2e,1026,4,Basic,54,0,0,1,0,annual,Cybersecurity,UK,event,0,174,18,4.0,60214,4,11,2.0,39.5,95.0,4.0,0.0,0,127,50,129
A-b7724f,551,8,Basic,29,0,0,0,1,monthly,HealthTech,UK,organic,0,380,38,4.625,93251,2,16,3.0,28.666666666666668,92.0,3.0,0.0,0,577,23,644
A-b7ef83,588,15,Pro,12,0,2,0,0,monthly,Cybersecurity,UK,partner,0,738,72,4.533333333333333,216777,8,39,2.0,47.5,79.0,4.0,0.0,0,202,6,216
A-b9eed8,342,11,Basic,18,0,0,3,1,monthly,Cybersecurity,US,organic,0,623,61,5.2727272727272725,168474,9,55,5.0,29.2,103.8,3.75,1.0,0,290,1,312
A-bb1486,3283,8,Pro,67,0,0,2,1,annual,HealthTech,US,organic,0,405,42,4.375,118945,5,36,3.0,11.0,78.0,3.0,0.0,0,48,22,56
A-bb1eaa,1225,5,Pro,25,0,0,1,1,annual,Cybersecurity,US,organic,0,164,17,3.4,45337,2,7,6.0,23.5,92.33333333333333,4.5,0.0,0,184,45,203
A-bd4513,950,12,Basic,50,0,2,0,1,annual,DevTools,AU,event,0,507,51,4.083333333333333,157547,4,34,3.0,42.0,58.666666666666664,4.666666666666667,0.0,0,49,2,55
A-bece89,1862,6,Pro,38,0,1,0,1,annual,Cybersecurity,IN,event,0,176,19,3.1666666666666665,48112,2,13,4.0,32.5,103.75,4.0,1.0,0,348,3,396
A-c16101,343,10,Pro,7,0,1,1,1,monthly,EdTech,IN,other,0,561,55,5.3,185984,9,29,4.0,28.0,82.0,5.0,1.0,0,116,11,116
A-c1dfe1,494,8,Basic,26,0,1,2,0,monthly,DevTools,DE,ads,0,375,39,4.625,127687,4,30,3.0,50.333333333333336,93.66666666666667,4.0,0.0,0,432,8,512
A-c1e51e,779,10,Basic,41,0,1,1,1,annual,FinTech,US,organic,0,518,50,4.7,152228,7,36,5.0,40.0,75.6,3.2,0.0,0,72,6,90
A-c222ab,1568,7,Pro,32,0,1,0,1,monthly,Cybersecurity,US,other,1,435,45,6.0,133441,6,33,4.0,39.0,94.5,5.0,0.0,0,129,2,235
A-c42f1f,152,8,Basic,8,0,1,1,1,monthly,HealthTech,US,other,0,337,35,4.125,98383,5,20,9.0,31.333333333333332,81.88888888888889,4.0,1.0,0,156,62,156
A-c608c8,1029,8,Pro,21,0,1,1,1,annual,DevTools,DE,ads,1,445,43,5.375,144345,5,27,2.0,59.0,66.0,3.0,0.0,0,550,0,614
A-c62e55,686,9,Pro,14,0,1,0,1,annual,EdTech,US,partner,0,337,32,3.5555555555555554,87045,6,13,4.0,27.5,101.25,4.0,0.0,0,412,19,692
A-c7ffc2,931,12,Basic,49,0,3,0,0,monthly,Cybersecurity,US,partner,0,640,62,4.666666666666667,200957,6,28,2.0,64.0,86.0,3.0,0.0,0,586,1,704
A-cd458b,1990,15,Enterprise,10,0,0,1,1,monthly,DevTools,US,other,0,864,84,5.333333333333333,266624,2,45,5.0,38.4,81.2,4.6,0.0,0,172,0,199
A-ce66f8,1421,6,Pro,29,0,0,0,1,annual,EdTech,CA,event,0,494,46,7.0,133559,6,19,6.0,41.666666666666664,79.16666666666667,3.5,0.0,0,495,0,496
A-ced9aa,147,11,Pro,3,0,0,0,1,annual,DevTools,US,other,0,531,55,4.363636363636363,166970,5,39,7.0,28.857142857142858,102.85714285714286,3.0,0.0,0,81,25,87
A-d42431,4378,9,Enterprise,22,0,1,1,1,annual,FinTech,FR,ads,0,457,47,4.777777777777778,133864,6,34,4.0,24.25,119.5,4.0,0.0,0,203,25,205
A-d49cc5,950,8,Basic,50,0,0,0,1,monthly,Cybersecurity,FR,event,0,436,41,5.0,142933,5,34,4.0,32.0,55.25,4.5,0.0,0,322,3,469
A-d4e0d4,23283,10,Enterprise,117,0,1,1,1,annual,FinTech,US,other,0,488,49,4.5,144771,6,33,4.0,39.25,76.25,4.0,0.0,0,74,27,74
A-d62e02,1194,10,Enterprise,6,0,1,1,0,monthly,Cybersecurity,US,partner,0,344,34,3.3,126757,4,23,1.0,36.0,31.0,4.0,0.0,0,119,9,133
A-e43bf7,8756,7,Enterprise,44,0,3,0,1,annual,Cybersecurity,AU,other,0,371,40,5.571428571428571,103455,2,35,5.0,27.4,80.0,4.0,1.0,0,590,23,648
A-e4bf56,4378,7,Enterprise,22,0,0,1,1,monthly,HealthTech,IN,ads,1,339,33,4.714285714285714,115488,1,10,8.0,29.125,111.5,3.6666666666666665,0.0,0,44,8,64
A-e89151,8756,9,Enterprise,44,0,3,0,1,annual,FinTech,UK,organic,1,601,58,5.888888888888889,188786,13,29,2.0,41.5,48.5,5.0,0.0,0,413,1,474
A-e98302,2842,6,Pro,58,0,0,0,1,annual,EdTech,US,ads,0,273,30,4.5,88751,3,18,9.0,44.44444444444444,99.44444444444444,4.142857142857143,0.0,0,345,19,371
A-eb1312,475,12,Basic,25,0,1,0,1,annual,FinTech,US,partner,0,663,65,5.166666666666667,188047,4,38,1.0,68.0,117.0,5.0,0.0,0,104,13,106
A-eb2fdc,589,12,Basic,31,0,0,0,1,annual,DevTools,AU,organic,1,547,53,4.333333333333333,174663,3,17,5.0,33.6,37.6,4.5,0.0,0,311,32,406
A-eb7fac,494,10,Basic,26,0,0,0,1,monthly,DevTools,US,organic,0,538,53,5.444444444444445,185729,6,44,4.0,34.0,126.5,4.0,0.0,0,371,12,430
A-f17767,735,14,Pro,15,0,3,1,1,annual,DevTools,US,event,1,713,68,5.5,208977,4,38,3.0,36.333333333333336,115.0,4.0,1.0,0,685,6,701
A-f19b24,551,3,Basic,29,0,0,0,1,monthly,Cybersecurity,US,organic,0,119,12,4.0,46012,0,10,2.0,35.5,74.0,4.0,1.0,0,289,58,721
A-f1f639,1791,4,Enterprise,9,0,1,0,1,monthly,EdTech,US,ads,0,139,13,3.5,43097,4,10,7.0,20.0,67.57142857142857,4.8,0.0,0,547,11,674
A-f446b6,95,9,Basic,5,0,0,0,1,annual,DevTools,DE,ads,0,376,39,4.222222222222222,127515,3,31,8.0,30.75,82.5,4.25,1.0,0,583,17,599
